Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;FF Mcap (MEUR);Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20240301;SXXP;STOXX Europe 600;EU0009658202;DE305Z;DE000EVNK013;EVKn.DE;EVONIK INDUSTRIES;DE;EUR;XETRA;;3736.4812;420;440;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB001S;GB00B3MBS747;OCDO.L;OCADO;GB;GBP;London SE;;3733.60847469595;421;397;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;464246;DK0010287663;NKT.CO;NKT;DK;DKK;NASDAQ Copenhagen;;3733.08720547809;422;447;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;EL004;ES0127797019;EDPR.LS;EDP RENOVAVEIS;PT;EUR;Euronext Lisbon;;3714.33720444336;423;373;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;595140;CH0319416936;FHZN.S;FLUGHAFEN ZURICH;CH;CHF;Six Swiss Exchange;;3705.70133552086;424;431;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B0LCW0;GB00B0LCW083;HIK.L;HIKMA PHARMACEUTICALS;GB;GBP;London SE;;3703.43449684932;425;428;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B0R7JF;FR0010259150;IPN.PA;IPSEN;FR;EUR;Euronext Paris;;3701.31987236184;426;410;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;453800;SE0000108847;LUNDb.ST;LUNDBERGFORETAGEN B;SE;SEK;NASDAQ Stockholm;;3691.2910736856;427;437;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE10BI;SE0011337708;AAK.ST;AAK;SE;SEK;NASDAQ Stockholm;;3687.50680092565;428;416;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB20F8;GB0006928617;UTG.L;UNITE GROUP PLC;GB;GBP;London SE;;3681.29308749435;429;408;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;411609;IT0000066123;EMII.MI;BPER Banca;IT;EUR;Borsa Italiana;;3667.75227177589;430;461;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;IT506M;IT0005090300;INWT.MI;INWIT;IT;EUR;Borsa Italiana;;3626.401743;431;399;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB9044;GB0003718474;GAW.L;GAMES WORKSHOP;GB;GBP;London SE;;3618.4783389304;432;413;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;419454;FR0000130403;DIOR.PA;CHRISTIAN DIOR;FR;EUR;Euronext Paris;;3612.40666395;433;460;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;417986;ES0116870314;NTGY.MC;Naturgy Energy Group;ES;EUR;BME Exchange;;3589.6033742269;434;378;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;IT102E;IT0001078911;ITPG.MI;INTERPUMP GRP;IT;EUR;Borsa Italiana;;3577.76401946213;435;420;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;547497;FR0010220475;ALSO.PA;ALSTOM;FR;EUR;Euronext Paris;;3573.68558074483;436;453;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;013670;GB0001367019;BLND.L;BRITISH LAND COMPANY;GB;GBP;London SE;;3553.69345319746;437;407;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FI3022;FI4000074984;VALMT.HE;Valmet;FI;EUR;NASDAQ Helsinki;;3551.63208095475;438;395;;;
